Timestep,Reward
1,2.0
2,5.0
3,-1.0
4,5.0
5,-2.0
6,-2.0
7,5.0
8,3.0
9,2.0
10,3.0
11,-1.0
12,1.0
13,1.0
14,-2.0
15,3.0
16,-1.0
17,1.0
18,3.0
19,-2.0
20,3.0
21,2.0
22,3.0
23,1.0
24,1.0
25,5.0
26,5.0
27,5.0
28,3.0
29,3.0
30,-2.0
31,3.0
32,-2.0
33,1.0
34,1.0
35,3.0
36,3.0
37,-2.0
38,1.0
39,1.0
40,-2.0
41,1.0
42,-1.0
43,-1.0
44,-1.0
45,1.0
46,1.0
47,5.0
48,5.0
49,3.0
50,1.0
51,1.0
52,5.0
53,-2.0
54,-2.0
55,-1.0
56,2.0
57,-1.0
58,2.0
59,1.0
60,1.0
61,-2.0
62,-2.0
63,-1.0
64,1.0
65,-2.0
66,1.0
67,1.0
68,5.0
69,-1.0
70,3.0
71,5.0
72,-2.0
73,5.0
74,3.0
75,1.0
76,-2.0
77,3.0
78,-2.0
79,3.0
80,-2.0
81,5.0
82,5.0
83,-2.0
84,2.0
85,-2.0
86,-1.0
87,5.0
88,2.0
89,1.0
90,5.0
91,2.0
92,3.0
93,1.0
94,2.0
95,3.0
96,5.0
97,-1.0
98,2.0
99,3.0
100,3.0
101,1.0
102,1.0
103,1.0
104,-1.0
105,5.0
106,-2.0
107,5.0
108,5.0
109,-1.0
110,5.0
111,3.0
112,-2.0
113,-1.0
114,1.0
115,5.0
116,3.0
117,2.0
118,5.0
119,1.0
120,2.0
121,5.0
122,2.0
123,1.0
124,2.0
125,5.0
126,-2.0
127,1.0
128,-1.0
129,5.0
130,1.0
131,-1.0
132,1.0
133,-1.0
134,1.0
135,5.0
136,2.0
137,-1.0
138,-2.0
139,1.0
140,1.0
141,2.0
142,-1.0
143,3.0
144,2.0
145,3.0
146,3.0
147,5.0
148,2.0
149,2.0
150,5.0
151,3.0
152,-2.0
153,3.0
154,-1.0
155,5.0
156,-2.0
157,3.0
158,2.0
159,5.0
160,-2.0
161,-1.0
162,-2.0
163,-2.0
164,5.0
165,5.0
166,-1.0
167,3.0
168,5.0
169,-1.0
170,5.0
171,5.0
172,3.0
173,3.0
174,5.0
175,-1.0
176,-2.0
177,3.0
178,2.0
179,2.0
180,-1.0
181,3.0
182,-1.0
183,2.0
184,1.0
185,-1.0
186,-1.0
187,2.0
188,-2.0
189,-1.0
190,3.0
191,-1.0
192,5.0
193,-1.0
194,1.0
195,-2.0
196,2.0
197,-1.0
198,1.0
199,-2.0
200,3.0
201,1.0
202,-1.0
203,-1.0
204,2.0
205,1.0
206,2.0
207,-1.0
208,1.0
209,1.0
210,5.0
211,3.0
212,2.0
213,3.0
214,-2.0
215,1.0
216,3.0
217,-1.0
218,3.0
219,5.0
220,5.0
221,3.0
222,1.0
223,2.0
224,-2.0
225,1.0
226,5.0
227,3.0
228,1.0
229,3.0
230,5.0
231,-1.0
232,2.0
233,2.0
234,1.0
235,3.0
236,5.0
237,1.0
238,5.0
239,2.0
240,1.0
241,5.0
242,2.0
243,1.0
244,-1.0
245,2.0
246,-1.0
247,1.0
248,-1.0
249,-2.0
250,2.0
251,-1.0
252,-1.0
253,3.0
254,1.0
255,5.0
256,5.0
257,-1.0
258,1.0
259,5.0
260,3.0
261,3.0
262,1.0
263,3.0
264,5.0
265,5.0
266,-2.0
267,3.0
268,1.0
269,3.0
270,3.0
271,1.0
272,1.0
273,-2.0
274,2.0
275,3.0
276,3.0
277,1.0
278,-1.0
279,-2.0
280,-1.0
281,5.0
282,-2.0
283,-1.0
284,-1.0
285,-1.0
286,-1.0
287,1.0
288,5.0
289,5.0
290,1.0
291,-2.0
292,5.0
293,-2.0
294,1.0
295,-1.0
296,2.0
297,2.0
298,1.0
299,-2.0
300,2.0
301,3.0
302,3.0
303,1.0
304,-2.0
305,-2.0
306,5.0
307,3.0
308,5.0
309,3.0
310,1.0
311,1.0
312,1.0
313,3.0
314,-2.0
315,2.0
