,idx,name,desc
0,0,agro_industry_and_commerce,agro_industry_and_commerce
1,1,air_conditioning,air_conditioning
2,2,arts_and_craftmanship,arts_and_craftmanship
3,3,auto,auto
4,4,baby,baby
5,5,bed_bath_table,bed_bath_table
6,6,computers_accessories,computers_accessories
7,7,construction_tools_construction,construction_tools_construction
8,8,cool_stuff,cool_stuff
9,9,costruction_tools_tools,costruction_tools_tools
10,10,diapers_and_hygiene,diapers_and_hygiene
11,11,drinks,drinks
12,12,electronics,electronics
13,13,fashio_female_clothing,fashio_female_clothing
14,14,fashion_bags_accessories,fashion_bags_accessories
15,15,fixed_telephony,fixed_telephony
16,16,flowers,flowers
17,17,food,food
18,18,food_drink,food_drink
19,19,furniture_decor,furniture_decor
20,20,furniture_living_room,furniture_living_room
21,21,garden_tools,garden_tools
22,22,health_beauty,health_beauty
23,23,home_confort,home_confort
24,24,home_construction,home_construction
25,25,housewares,housewares
26,26,luggage_accessories,luggage_accessories
27,27,market_place,market_place
28,28,office_furniture,office_furniture
29,29,perfumery,perfumery
30,30,shrubbery,shrubbery
31,31,signaling_and_security,signaling_and_security
32,32,sports_leisure,sports_leisure
33,33,stationery,stationery
34,34,tablets_printing_image,tablets_printing_image
35,35,telephony,telephony
36,36,toys,toys
37,37,watches_gifts,watches_gifts
