,idx,zip_code,city,state
0,0,91170,porto alegre,RS
1,1,5882,sao paulo,SP
2,2,3029,sao paulo,SP
3,3,74825,goiania,GO
4,4,84600,uniao da vitoria,PR
5,5,4045,sao paulo,SP
6,6,48410,cicero dantas,BA
7,7,74885,goiania,GO
8,8,11065,santos,SP
9,9,11701,praia grande,SP
10,10,13330,indaiatuba,SP
11,11,8072,sao paulo,SP
12,12,5006,sao paulo,SP
13,13,88015,florianopolis,SC
14,14,3735,sao paulo,SP
15,15,81280,curitiba,PR
16,16,31330,belo horizonte,MG
17,17,88598,celso ramos,SC
18,18,89266,jaragua do sul,SC
19,19,36025,juiz de fora,MG
20,20,51021,recife,PE
21,21,90240,porto alegre,RS
22,22,55293,garanhuns,PE
23,23,94930,cachoeirinha,RS
24,24,13844,mogi-guacu,SP
25,25,1233,sao paulo,SP
26,26,23535,rio de janeiro,RJ
27,27,5182,sao paulo,SP
28,28,75905,rio verde,GO
29,29,44900,irece,BA
30,30,73770,alto paraiso de goias,GO
31,31,13087,campinas,SP
32,32,7020,guarulhos,SP
33,33,14095,ribeirao preto,SP
34,34,9990,diadema,SP
35,35,84043,ponta grossa,PR
36,36,24020,niteroi,RJ
37,37,4011,sao paulo,SP
38,38,99200,guapore,RS
39,39,20540,rio de janeiro,RJ
40,40,14610,ipua,SP
41,41,13820,jaguariuna,SP
42,42,14640,morro agudo,SP
43,43,18407,itapeva,SP
44,44,14403,franca,SP
45,45,12236,sao jose dos campos,SP
46,46,2411,sao paulo,SP
47,47,5565,sao paulo,SP
48,48,75905,rio verde,GO
49,49,36680,sao joao nepomuceno,MG
50,50,13454,santa barbara d'oeste,SP
51,51,38301,ituiutaba,MG
52,52,93315,novo hamburgo,RS
53,53,5407,sao paulo,SP
54,54,11065,santos,SP
55,55,20080,rio de janeiro,RJ
56,56,22725,rio de janeiro,RJ
57,57,4068,sao paulo,SP
58,58,37150,carmo do rio claro,MG
59,59,8041,sao paulo,SP
60,60,49700,capela,SE
61,61,22775,rio de janeiro,RJ
62,62,89707,concordia,SC
63,63,20561,rio de janeiro,RJ
64,64,25213,duque de caxias,RJ
65,65,80210,curitiba,PR
66,66,22610,rio de janeiro,RJ
67,67,88137,palhoca,SC
68,68,22411,rio de janeiro,RJ
69,69,4140,sao paulo,SP
70,70,3360,sao paulo,SP
71,71,6023,osasco,SP
72,72,7070,guarulhos,SP
73,73,3755,sao paulo,SP
74,74,13271,valinhos,SP
75,75,37800,guaxupe,MG
76,76,6634,jandira,SP
77,77,15084,sao jose do rio preto,SP
78,78,65075,sao luis,MA
79,79,8766,mogi das cruzes,SP
80,80,38550,coromandel,MG
81,81,9820,sao bernardo do campo,SP
82,82,19400,presidente venceslau,SP
83,83,89809,chapeco,SC
84,84,76811,porto velho,RO
85,85,15840,itajobi,SP
86,86,73770,alto paraiso de goias,GO
87,87,12043,taubate,SP
88,88,88070,florianopolis,SC
89,89,69055,manaus,AM
90,90,20950,rio de janeiro,RJ
91,91,24220,niteroi,RJ
92,92,11075,santos,SP
93,93,3405,sao paulo,SP
94,94,88790,laguna,SC
95,95,11750,peruibe,SP
96,96,4144,sao paulo,SP
97,97,4349,sao paulo,SP
98,98,3162,sao paulo,SP
99,99,3940,sao paulo,SP
