,timestamp,idx,product_idx,customer_idx,review_score,type,value
0,2017-01-21 06:58:32,order-0,27,24,0,buy,59.33
1,2017-01-21 06:58:33,order-1,27,24,0,buy,59.33
2,2017-01-21 06:58:34,order-2,27,24,0,buy,59.33
3,2017-01-21 06:58:35,order-3,27,24,0,buy,59.33
4,2017-01-21 06:58:36,order-4,27,24,0,buy,59.33
5,2017-01-21 06:58:37,order-5,27,24,0,buy,59.33
6,2017-01-23 13:31:27,order-6,27,24,0,buy,59.33
7,2017-01-23 13:31:28,order-7,27,24,0,buy,59.33
8,2017-01-23 13:31:29,order-8,27,24,0,buy,59.33
9,2017-01-23 13:31:30,order-9,27,24,0,buy,59.33
10,2017-01-23 13:31:31,order-10,27,24,0,buy,59.33
11,2017-01-30 21:44:50,order-11,34,7,0,buy,16.8
12,2017-01-30 21:44:51,order-12,34,7,0,buy,16.8
13,2017-01-30 21:44:52,order-13,34,7,0,buy,16.8
14,2017-01-30 21:44:53,order-14,34,7,0,buy,16.8
15,2017-01-30 21:44:54,order-15,34,7,0,buy,16.8
16,2017-01-30 21:44:55,order-16,34,7,0,buy,16.8
17,2017-01-30 21:44:56,order-17,34,7,0,buy,16.8
18,2017-01-30 21:44:57,order-18,34,7,0,buy,16.8
19,2017-01-30 21:44:58,order-19,34,7,0,buy,16.8
20,2017-01-30 21:44:59,order-20,34,7,0,buy,16.8
21,2017-01-30 21:45:00,order-21,34,7,0,buy,16.8
22,2017-01-30 21:45:01,order-22,34,7,0,buy,16.8
23,2017-01-30 21:45:02,order-23,34,7,0,buy,16.8
24,2017-01-30 21:45:03,order-24,34,7,0,buy,16.8
25,2017-01-30 21:45:04,order-25,34,7,0,buy,16.8
26,2017-01-31 12:16:04,review-178,27,24,1,rate,1.0
27,2017-01-31 12:17:42,review-146,27,24,1,rate,1.0
28,2017-02-05 18:47:45,order-26,36,90,0,buy,33.9
29,2017-02-05 18:47:46,order-27,26,90,0,buy,46.0
30,2017-02-16 17:14:42,review-211,34,7,5,rate,1.0
31,2017-02-25 01:06:26,review-264,36,90,3,rate,1.0
32,2017-02-25 01:06:27,review-265,26,90,3,rate,1.0
33,2017-04-18 09:46:41,order-28,30,33,0,buy,103.97
34,2017-05-02 11:01:51,review-83,30,33,5,rate,1.0
35,2017-05-09 14:33:44,order-29,31,65,0,buy,103.97
36,2017-05-09 14:33:45,order-30,31,65,0,buy,103.97
37,2017-05-09 14:33:46,order-31,31,65,0,buy,103.97
38,2017-05-09 14:33:47,order-32,31,65,0,buy,103.97
39,2017-05-09 14:41:11,order-33,31,65,0,buy,103.97
40,2017-05-09 14:41:12,order-34,31,65,0,buy,103.97
41,2017-05-09 14:41:13,order-35,31,65,0,buy,103.97
42,2017-05-09 14:41:14,order-36,31,65,0,buy,103.97
43,2017-05-10 14:04:16,order-37,31,36,0,buy,103.97
44,2017-05-10 14:04:17,order-38,31,36,0,buy,103.97
45,2017-05-11 14:39:54,order-39,30,26,0,buy,103.97
46,2017-05-15 23:30:04,order-40,19,5,0,buy,79.9
47,2017-05-18 11:00:53,order-41,27,70,0,buy,59.33
