,name,idx,desc
0,agro_industry_and_commerce,0,agro_industry_and_commerce
1,air_conditioning,1,air_conditioning
2,arts_and_craftmanship,2,arts_and_craftmanship
3,auto,3,auto
4,baby,4,baby
5,bed_bath_table,5,bed_bath_table
6,computers_accessories,6,computers_accessories
7,construction_tools_construction,7,construction_tools_construction
8,cool_stuff,8,cool_stuff
9,costruction_tools_tools,9,costruction_tools_tools
10,diapers_and_hygiene,10,diapers_and_hygiene
11,drinks,11,drinks
12,electronics,12,electronics
13,fashio_female_clothing,13,fashio_female_clothing
