,idx,zip_code,city,state
0,0,91170,porto alegre,RS
1,1,5882,sao paulo,SP
2,2,3029,sao paulo,SP
3,3,74825,goiania,GO
4,4,84600,uniao da vitoria,PR
5,5,4045,sao paulo,SP
6,6,48410,cicero dantas,BA
7,7,74885,goiania,GO
8,8,11065,santos,SP
9,9,11701,praia grande,SP
10,10,13330,indaiatuba,SP
11,11,8072,sao paulo,SP
12,12,5006,sao paulo,SP
13,13,88015,florianopolis,SC
14,14,3735,sao paulo,SP
15,15,81280,curitiba,PR
16,16,31330,belo horizonte,MG
17,17,88598,celso ramos,SC
18,18,89266,jaragua do sul,SC
19,19,36025,juiz de fora,MG
20,20,51021,recife,PE
21,21,90240,porto alegre,RS
22,22,55293,garanhuns,PE
23,23,94930,cachoeirinha,RS
24,24,13844,mogi-guacu,SP
25,25,1233,sao paulo,SP
26,26,23535,rio de janeiro,RJ
27,27,5182,sao paulo,SP
28,28,75905,rio verde,GO
29,29,44900,irece,BA
30,30,73770,alto paraiso de goias,GO
31,31,13087,campinas,SP
32,32,7020,guarulhos,SP
33,33,14095,ribeirao preto,SP
34,34,9990,diadema,SP
35,35,84043,ponta grossa,PR
36,36,24020,niteroi,RJ
37,37,4011,sao paulo,SP
38,38,99200,guapore,RS
39,39,20540,rio de janeiro,RJ
40,40,14610,ipua,SP
41,41,13820,jaguariuna,SP
42,42,14640,morro agudo,SP
43,43,18407,itapeva,SP
44,44,14403,franca,SP
45,45,12236,sao jose dos campos,SP
46,46,2411,sao paulo,SP
47,47,5565,sao paulo,SP
48,48,75905,rio verde,GO
49,49,36680,sao joao nepomuceno,MG
