,timestamp,idx,product_idx,customer_idx,review_score,type,value
0,2017-01-21 06:58:32,order-0,73,24,0,buy,9.9
1,2017-01-21 06:58:33,order-1,73,24,0,buy,9.9
2,2017-01-21 06:58:34,order-2,73,24,0,buy,9.9
3,2017-01-21 06:58:35,order-3,78,24,0,buy,9.9
4,2017-01-21 06:58:36,order-4,73,24,0,buy,9.9
5,2017-01-21 06:58:37,order-5,73,24,0,buy,9.9
6,2017-01-23 13:31:27,order-6,73,24,0,buy,9.9
7,2017-01-23 13:31:28,order-7,73,24,0,buy,9.9
8,2017-01-23 13:31:29,order-8,73,24,0,buy,9.9
9,2017-01-23 13:31:30,order-9,73,24,0,buy,9.9
10,2017-01-23 13:31:31,order-10,73,24,0,buy,9.9
11,2017-01-30 21:44:50,order-11,87,7,0,buy,51.0
12,2017-01-30 21:44:51,order-12,87,7,0,buy,51.0
13,2017-01-30 21:44:52,order-13,87,7,0,buy,51.0
14,2017-01-30 21:44:53,order-14,87,7,0,buy,51.0
15,2017-01-30 21:44:54,order-15,87,7,0,buy,51.0
16,2017-01-30 21:44:55,order-16,87,7,0,buy,51.0
17,2017-01-30 21:44:56,order-17,87,7,0,buy,51.0
18,2017-01-30 21:44:57,order-18,87,7,0,buy,51.0
19,2017-01-30 21:44:58,order-19,87,7,0,buy,51.0
20,2017-01-30 21:44:59,order-20,87,7,0,buy,51.0
21,2017-01-30 21:45:00,order-21,87,7,0,buy,51.0
22,2017-01-30 21:45:01,order-22,87,7,0,buy,51.0
23,2017-01-30 21:45:02,order-23,87,7,0,buy,51.0
24,2017-01-30 21:45:03,order-24,87,7,0,buy,51.0
25,2017-01-30 21:45:04,order-25,87,7,0,buy,51.0
86,2017-01-31 12:16:04,review-86,73,24,1,rate,1.0
87,2017-01-31 12:16:07,review-87,78,24,1,rate,1.0
66,2017-01-31 12:17:42,review-66,73,24,1,rate,1.0
103,2017-02-16 17:14:42,review-103,87,7,5,rate,1.0
26,2017-04-18 09:46:41,order-26,41,33,0,buy,27.9
30,2017-05-02 11:01:51,review-30,41,33,5,rate,1.0
27,2017-05-10 14:04:16,order-27,42,36,0,buy,219.9
28,2017-05-10 14:04:17,order-28,42,36,0,buy,219.9
29,2017-05-11 14:39:54,order-29,83,26,0,buy,103.97
30,2017-05-15 23:30:04,order-30,128,5,0,buy,14.99
31,2017-05-21 16:19:59,order-31,114,26,0,buy,98.0
32,2017-05-21 16:20:00,order-32,114,26,0,buy,98.0
55,2017-05-24 18:52:18,review-55,83,26,4,rate,1.0
13,2017-05-29 00:05:03,review-13,128,5,5,rate,1.0
49,2017-05-29 16:33:33,review-49,42,36,5,rate,1.0
98,2017-05-29 17:23:12,review-98,114,26,5,rate,1.0
33,2017-06-08 10:49:43,order-33,43,21,0,buy,199.0
34,2017-06-08 10:49:44,order-34,43,21,0,buy,199.0
35,2017-06-08 10:49:45,order-35,43,21,0,buy,199.0
36,2017-06-08 10:49:46,order-36,43,21,0,buy,199.0
37,2017-06-18 22:56:49,order-37,119,5,0,buy,39.9
38,2017-06-22 13:35:22,order-38,81,26,0,buy,103.97
97,2017-06-26 11:38:30,review-97,43,21,5,rate,1.0
74,2017-06-26 20:53:56,review-74,119,5,5,rate,1.0
39,2017-07-01 04:22:22,order-39,54,22,0,buy,50.0
40,2017-07-01 04:22:23,order-40,54,22,0,buy,50.0
41,2017-07-01 04:22:24,order-41,54,22,0,buy,50.0
42,2017-07-01 04:22:25,order-42,54,22,0,buy,50.0
25,2017-07-13 23:39:03,review-25,54,22,5,rate,1.0
20,2017-07-14 22:38:38,review-20,81,26,5,rate,1.0
