,category,category_num_id,category_seq_id,name,idx,price,desc,long_desc
0,agro_industry_and_commerce,0,1,agro_industry_and_commerce-1,0,35.0,agro_industry_and_commerce-1,agro_industry_and_commerce-1
116,agro_industry_and_commerce,0,2,agro_industry_and_commerce-2,1,59.99,agro_industry_and_commerce-2,agro_industry_and_commerce-2
117,agro_industry_and_commerce,0,3,agro_industry_and_commerce-3,2,22.99,agro_industry_and_commerce-3,agro_industry_and_commerce-3
118,agro_industry_and_commerce,0,4,agro_industry_and_commerce-4,3,194.99,agro_industry_and_commerce-4,agro_industry_and_commerce-4
119,agro_industry_and_commerce,0,5,agro_industry_and_commerce-5,4,59.9,agro_industry_and_commerce-5,agro_industry_and_commerce-5
1,air_conditioning,1,1,air_conditioning-1,5,190.0,air_conditioning-1,air_conditioning-1
125,air_conditioning,1,2,air_conditioning-2,6,1680.0,air_conditioning-2,air_conditioning-2
241,air_conditioning,1,3,air_conditioning-3,7,118.0,air_conditioning-3,air_conditioning-3
242,air_conditioning,1,4,air_conditioning-4,8,118.0,air_conditioning-4,air_conditioning-4
2,arts_and_craftmanship,2,1,arts_and_craftmanship-1,9,69.9,arts_and_craftmanship-1,arts_and_craftmanship-1
126,arts_and_craftmanship,2,2,arts_and_craftmanship-2,10,270.9,arts_and_craftmanship-2,arts_and_craftmanship-2
243,arts_and_craftmanship,2,3,arts_and_craftmanship-3,11,41.33,arts_and_craftmanship-3,arts_and_craftmanship-3
244,arts_and_craftmanship,2,4,arts_and_craftmanship-4,12,98.0,arts_and_craftmanship-4,arts_and_craftmanship-4
245,arts_and_craftmanship,2,5,arts_and_craftmanship-5,13,39.9,arts_and_craftmanship-5,arts_and_craftmanship-5
3,auto,3,1,auto-1,14,98.7,auto-1,auto-1
4,auto,3,2,auto-2,15,378.0,auto-2,auto-2
5,auto,3,3,auto-3,16,199.9,auto-3,auto-3
127,auto,3,4,auto-4,17,20.49,auto-4,auto-4
249,auto,3,5,auto-5,18,100.0,auto-5,auto-5
6,baby,4,1,baby-1,19,79.9,baby-1,baby-1
7,baby,4,2,baby-2,20,49.99,baby-2,baby-2
8,baby,4,3,baby-3,21,149.9,baby-3,baby-3
9,baby,4,4,baby-4,22,79.9,baby-4,baby-4
10,baby,4,5,baby-5,23,79.9,baby-5,baby-5
11,bed_bath_table,5,1,bed_bath_table-1,24,38.4,bed_bath_table-1,bed_bath_table-1
12,bed_bath_table,5,2,bed_bath_table-2,25,116.9,bed_bath_table-2,bed_bath_table-2
13,bed_bath_table,5,3,bed_bath_table-3,26,46.0,bed_bath_table-3,bed_bath_table-3
