Timestep,Reward
1,1.0
2,-1.0
3,1.0
5,-1.0
6,1.0
7,3.0
9,-4.0
10,20.0
14,4.0
15,3.0
16,-1.0
17,-1.0
18,-1.0
19,3.0
20,1.0
21,3.0
22,3.0
23,-1.0
24,20.0
25,1.0
26,-1.0
27,20.0
28,-1.0
29,1.0
30,3.0
32,20.0
33,1.0
36,4.0
37,20.0
39,20.0
40,-4.0
41,3.0
43,4.0
44,20.0
45,-1.0
46,3.0
48,-1.0
49,-1.0
50,-1.0
51,20.0
53,-1.0
55,-1.0
57,-1.0
59,3.0
61,3.0
63,3.0
65,-4.0
66,20.0
67,20.0
68,1.0
69,-1.0
70,4.0
71,3.0
72,3.0
73,-2.0
74,-1.0
75,-1.0
76,-1.0
77,-1.0
78,20.0
79,-1.0
84,1.0
86,-1.0
87,4.0
88,1.0
89,3.0
90,-1.0
93,20.0
94,20.0
95,-1.0
96,20.0
97,20.0
98,1.0
99,-1.0
100,3.0
101,2.0
102,20.0
103,-1.0
104,-2.0
106,-4.0
107,-1.0
108,-4.0
109,-1.0
110,1.0
111,-1.0
112,1.0
113,3.0
114,-2.0
115,4.0
117,-1.0
118,3.0
119,4.0
121,4.0
122,-1.0
123,-1.0
124,3.0
125,-1.0
126,-1.0
127,4.0
128,1.0
129,1.0
130,3.0
131,1.0
134,1.0
137,-1.0
138,-1.0
140,-1.0
141,20.0
142,-4.0
144,3.0
145,-1.0
146,-1.0
147,-1.0
150,3.0
151,20.0
153,1.0
154,3.0
155,3.0
156,20.0
157,-1.0
158,3.0
160,-1.0
163,-1.0
164,-1.0
166,-1.0
168,1.0
169,20.0
170,3.0
171,-4.0
173,-1.0
174,20.0
176,-4.0
179,-1.0
181,3.0
183,1.0
184,2.0
187,3.0
188,3.0
190,2.0
191,20.0
192,3.0
194,20.0
198,-2.0
199,3.0
200,20.0
201,20.0
202,20.0
203,4.0
204,-1.0
206,20.0
207,3.0
208,-1.0
209,20.0
210,3.0
211,1.0
212,20.0
213,-1.0
214,-1.0
215,-1.0
216,3.0
217,-1.0
218,20.0
221,20.0
224,3.0
225,20.0
226,1.0
227,1.0
228,3.0
230,-1.0
231,-1.0
232,3.0
233,20.0
234,4.0
235,1.0
236,-1.0
237,-1.0
238,3.0
239,3.0
240,1.0
241,-1.0
244,-1.0
245,3.0
246,3.0
247,-1.0
249,3.0
251,3.0
253,20.0
255,-1.0
256,3.0
257,20.0
